figure_id,What is the level of RNA expression?,What is the level of protein expression?,"If there is RNA expression, what patterns does the RNA make?","If there is protein expression, what patterns does the protein make?",Nascent transcript level,Cytosolic RNA level,Is there obvious RNA/protein discordance (whole image)?,Flag this gene as a potential one to use for a figure in the paper?,Is RNA present in NBs?,Is protein present in NBs?,Is RNA present in anlagen?,Is protein present in anlagen?,Is RNA present in other cells?,Is protein present in other cells?,Is figure quality too poor?,General comments
2138372,High,High,Evenly distributed,Diffuse	Cytoplasmic,High,High,No,No,Yes,No,Yes,Yes,Yes,Yes,No,
2138694,High,Moderate,Evenly distributed,Punctate	Diffuse,High,High,No,No,Yes,Yes,No,Yes,Yes,Yes,No,
2137980,High,Moderate,Evenly distributed,Cell edges	Diffuse,Low,High,No,No,Yes,No,N/A,No,Yes,Yes,No,
2138786,High,High,Evenly distributed,Punctate	Diffuse	Cytoplasmic,Moderate,High,Yes,No,Yes,No,Yes,No,Yes,Yes,No,
2138552,High,Low,Evenly distributed,Punctate,Moderate,High,Yes,No,Yes,No,No,No,Yes,Yes,No,Only the corner of the anlagen showing. We ok with that?
2138256,Moderate,High,Evenly distributed,Cell edges	Diffuse	Large aggregations,Moderate,Moderate,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,
2138356,None,None,,,None,None,No,No,No,No,No,No,No,No,Yes,"Doesn't seem to be expressed. DAPI is saturated, needs to be recontrasted. "
2139974,High,Low,Evenly distributed,Punctate	Diffuse,Low,High,No,No,Yes,Yes,No,Yes,Yes,Yes,No,
2140584,Moderate,Low,Evenly distributed,Punctate	Cell edges,Moderate,Moderate,No,No,Yes,Yes,N/A,No,Yes,Yes,Yes,Image is a bit noisy
2138564,High,High,Evenly distributed,Nuclear	Diffuse	Cytoplasmic,High,High,No,No,Yes,Yes,N/A,No,Yes,Yes,No,
2138568,High,Low,Evenly distributed,Cell edges,Low,High,No,No,Yes,No,No,No,Yes,Yes,No,
2138476,Moderate,Low,More in some cells than others,Cell edges	Diffuse,Moderate,Moderate,No,No,Yes,No,N/A,No,Yes,Yes,No,
2138147,High,Moderate,Evenly distributed,Diffuse	Large aggregations,Low,High,No,No,Yes,Yes,No,Yes,Yes,Yes,No,
2138708,High,None,Evenly distributed,,Low,High,Yes,No,Yes,No,No,No,Yes,No,No,
2138024,High,Moderate,More in some cells than others,Punctate	Large aggregations,Low,High,Yes,No,Yes,No,N/A,No,Yes,Yes,No,
2137873,High,Moderate,Evenly distributed,Punctate	Diffuse	Large aggregations,Moderate,High,Yes,No,Yes,No,Yes,No,Yes,Yes,No,
2138055,Moderate,Moderate,Nuclear	More in some cells than others,Punctate,High,Moderate,No,No,Yes,Yes,N/A,No,Yes,Yes,No,
2138604,High,Low,Evenly distributed,Punctate	Diffuse,Low,High,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,"RNA signal is very faint, could be better contrasted"
2138767,Moderate,Low,More in some cells than others,Diffuse,High,Moderate,Yes,No,Yes,No,Yes,No,Yes,Yes,No,
2138136,Low,Low,Single transcripts,Punctate,None,None,No,No,Yes,No,N/A,No,Yes,Yes,No,
2138667,Low,High,More in some cells than others,Cell edges	Diffuse,Low,Low,No,No,Yes,Yes,No,Yes,Yes,Yes,No,
2138927,High,High,Evenly distributed,Nuclear	Cytoplasmic,High,High,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,
2138827,High,Moderate,Evenly distributed,Nuclear	Diffuse	Cytoplasmic,High,High,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,
2138939,High,High,Evenly distributed,Nuclear	Diffuse	Cytoplasmic,High,High,No,No,Yes,Yes,No,No,Yes,Yes,No,Anlagen picture is pretty poor. 
2138751,Low,Low,Single transcripts,Cell edges,Low,Low,Yes,No,Yes,No,No,Yes,Yes,No,No,Anlagen image needs to be zoomed in a little
2138597,High,High,Evenly distributed,Large aggregations,High,High,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,
2138848,None,Low,,Cell edges	Diffuse,None,None,Yes,No,No,Yes,No,No,No,Yes,No,
2138489,High,High,More in some cells than others,Large aggregations,High,High,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,
2138718,High,Low,Evenly distributed,Cell edges	Diffuse,Low,Moderate,No,No,Yes,No,No,No,Yes,Yes,No,
2138813,Low,Low,Single transcripts,Cell edges,None,Low,Yes,No,No,No,No,Yes,Yes,No,No,Protein on the top image shouldn't be in the figure?
2137768,None,None,,,None,None,No,No,No,No,No,No,No,No,No,Doesn't seem to be expressed
2138862,High,Low,Evenly distributed,Nuclear	Diffuse,Moderate,High,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"DAPI is saturated, generally not a very clean image"
2137900,High,Moderate,More in some cells than others,Diffuse	Large aggregations,High,High,No,No,No,No,Yes,Yes,Yes,Yes,No,Lots of expression around the anlagen
2138614,Moderate,Low,Evenly distributed,Cell edges	Diffuse,Low,Moderate,No,No,Yes,No,Yes,No,Yes,Yes,Yes,RNA contrasting is out. Merge is different to single panels. 
2138714,Moderate,None,More in some cells than others,,Moderate,Moderate,Yes,No,Yes,No,No,No,Yes,No,No,
2138138,High,High,More in some cells than others,Diffuse	Cytoplasmic,High,High,No,No,Yes,No,N/A,No,Yes,Yes,No,
2140575,None,None,,,None,None,No,No,No,No,No,No,No,No,Yes,Doesn't seem to be expressed but the image is poor
2138722,High,Low,Evenly distributed,Diffuse	Cytoplasmic,Moderate,High,No,No,Yes,No,Yes,No,Yes,Yes,No,
2137928,Moderate,High,Evenly distributed,Diffuse	Cytoplasmic,Low,High,Yes,No,Yes,No,Yes,No,Yes,Yes,No,
2138499,Low,High,Single transcripts,Diffuse,None,Low,Yes,No,No,Yes,N/A,No,Yes,Yes,Yes,I don't think that's the anlagen
2138753,Low,Low,Single transcripts,Diffuse,None,Low,No,No,No,No,Yes,No,No,Yes,No,
2138653,High,Moderate,Evenly distributed,Punctate,High,High,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,
2137924,None,Low,,Diffuse,None,None,No,No,No,No,No,No,No,Yes,No,
2137824,High,High,Evenly distributed,Cell edges	Large aggregations,High,High,No,No,Yes,No,Yes,Yes,Yes,Yes,No,
2138730,High,High,Evenly distributed,Punctate	Large aggregations,High,High,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,
2138161,None,None,,,None,None,No,No,No,No,No,No,No,No,Yes,NOT SCORED: The RNA signal in the merge and RNA panel don't match. Which is correct? Are they equally contrasted?
2137990,High,Moderate,More in some cells than others,Punctate	Cell edges,Low,High,No,No,Yes,No,N/A,No,Yes,Yes,No,
2137890,None,None,,,None,None,No,No,No,No,No,No,No,No,No,Doesn't seem to be expressed
