figure_id,What is the level of RNA expression?,What is the level of protein expression?,What patterns does the RNA make?,What patterns does the protein make?,Nascent transcript level,Cytosolic RNA level,Is there obvious RNA/protein discordance (whole image)?,Flag this gene as a potential one to use for a figure in the paper?,Is RNA present in axon terminal?,Is protein present in axon terminal?,Is RNA present in muscle?,Is protein present in muscle?,Is RNA present in post synaptic density?,Is protein present in post synaptic density?,Is RNA present in neuron?,Is protein present in neuron?,Is RNA distribution cell-type specific?,Is protein distribution cell-type specific?,Is figure quality too poor?,General comments
2137880,Moderate,High,Single transcripts,Other,Moderate,Moderate,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,neuron,neuron,No,"Could be in neuron or glia, it is clearly in the last bit of the neuron but not in boutons."
2137799,Low,None,Single transcripts,Nuclear,Low,None,No,No,No,No,Yes,No,No,No,No,No,No,No,No,"Almost no RNA, two punctae only."
2137892,Moderate,None,Single transcripts,Diffuse,High,Low,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,"Very blurry, muscle looks broken and protein distribution is unclear."
2138082,Low,Low,Nuclear,Diffuse,Low,Low,No,No,No,No,No,No,Yes,No,No,No,No,No,No,
2138090,High,Moderate,Evenly scattered,"Diffuse	Cytoskeleton (muscle fibres)",Low,High,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Massive snake-like artifact in RNA channel. No HRP staining present.
2137861,High,Moderate,"Evenly scattered	Single transcripts","Punctate	Diffuse	Cytoskeleton (muscle fibres)",Moderate,High,No,No,Yes,No,Yes,Yes,Yes,No,No,No,muscle,No,No,
2137961,Moderate,Moderate,Nuclear,Nuclear,High,Low,No,No,No,No,Yes,Yes,No,No,No,No,muscle,muscle,No,
2137802,Low,None,"Nuclear	Perinuclear (muscle)",None,Moderate,Low,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Many bright punctae nearby nuclei.
2137973,None,Moderate,"Evenly scattered	Single transcripts","Punctate	Other",Moderate,High,No,No,Yes,Yes,Yes,Yes,No,No,N/A,No,Axon terminal,Axon terminal,No,No dlg hence cannot make decisions about post-synaptic density.
2137845,High,Moderate,"Evenly scattered	Nuclear",Nuclear,High,Moderate,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,
2137938,High,Moderate,"Evenly scattered	Single transcripts",Diffuse,Moderate,High,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No HRP staining.
2137926,Low,Moderate,Nuclear,Cell edges,Low,Low,No,No,No,No,No,No,No,Yes,No,No,No,No,No,It seems like the dlg or the protein channel bled through to the RNA channel. 
2137826,High,Low,"Evenly scattered	Single transcripts	Nuclear",Diffuse,Moderate,High,No,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,"Bright, ubiquitous punctae everywhere. Bright transcription foci."
2138100,Moderate,Low,Other,Diffuse,Low,Low,Yes,No,Yes,Yes,No,No,No,No,No,No,Other cells,No,No,Might be a glial cell. HRP signal is missing.
2137857,High,Moderate,"Single transcripts	Cell type specific",Other,High,Moderate,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Other cells,Other cells,No,Seems to be in glia.
2137957,Low,High,Single transcripts,"Cell edges	Other",None,Low,No,No,No,No,Yes,Yes,Yes,Yes,N/A,No,No,No,No,Protein overlaps perfectly with dlg expression.
2137849,High,Moderate,Evenly scattered,"Punctate	Nuclear",High,Moderate,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Lots of RNA and protein in the nucleus
2137834,High,Low,"Evenly scattered	Single transcripts","Diffuse	Cytoskeleton (muscle fibres)",Moderate,High,No,No,No,No,Yes,Yes,Yes,No,Yes,No,muscle,muscle,No,Ubiquitous RNA punctae everywhere in the muscle.
2138112,Moderate,Low,Single transcripts,Punctate,Low,Moderate,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,
2137971,Moderate,Low,Single transcripts,Other,Low,Moderate,No,No,No,No,Yes,No,Yes,Yes,N/A,No,No,post synaptic density,No,
2137871,Moderate,Moderate,"Single transcripts	Nuclear","Cell edges	Other",Moderate,Moderate,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Other cells,No,I would hypothesise the protein is in glia.
2137863,Low,None,Nuclear,None,Moderate,Low,No,No,No,No,No,No,No,No,No,No,No,No,No,
2137963,Low,Low,"Single transcripts	Nuclear",Other,Moderate,Moderate,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,post synaptic density,No,
2138110,Moderate,Low,Single transcripts,"Diffuse	Cytoskeleton (muscle fibres)",Low,Moderate,No,No,No,No,Yes,Yes,Yes,No,N/A,No,No,No,No,Seems a little concentrated in the post-synaptic density.
2137836,Low,Low,Single transcripts,Diffuse,Moderate,Low,No,No,No,No,No,No,Yes,No,No,No,No,No,No,
2137936,Moderate,Moderate,Nuclear,Cell edges,High,None,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Axon terminal,Yes,Blurry figure.
2137855,Low,Moderate,"Single transcripts	Nuclear",Diffuse,Low,Low,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,
2137955,High,Moderate,Evenly scattered,Cell edges,Moderate,Low,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,
2138073,Low,Low,Single transcripts,Diffuse,Low,Low,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No HRP signal.
2137828,Moderate,Moderate,"Single transcripts	Cell type specific",Cell edges,None,Moderate,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Other cells,Other cells,No,This is likely a glial protein!
2137959,Moderate,Low,"Evenly scattered	Single transcripts",Diffuse,Low,Moderate,No,No,Yes,No,Yes,Yes,Yes,No,N/A,No,No,No,No,
2137859,High,High,"Evenly scattered	Single transcripts",Cell edges,Moderate,High,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,post synaptic density,No,
2138102,Low,Low,Single transcripts,Cell edges,Moderate,Low,No,No,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,
