figure_id,What is the level of RNA expression?,What is the level of protein expression?,"If there is RNA expression, what patterns does the RNA make?","If there is protein expression, what patterns does the protein make?",Nascent transcript level,Cytosolic RNA level,Is there obvious RNA/protein discordance (whole image)?,Flag this gene as a potential one to use for a figure in the paper?,Is RNA present in soma?,Is protein present in soma?,Is RNA present in neuropil?,Is protein present in neuropil?,Is figure quality too poor?,General comments,Is RNA present in midline glia?,Is protein present in midline glia?
2137787,High,Moderate,"Single transcripts	Cell type specific	Other",Punctate,Moderate,Low,Yes,Yes,Yes,Yes,Yes,Yes,No,"Protein expression, diffuse in the neuropil but punctate in the Cell bodies image",,
2138407,Low,None,Single transcripts,,High,None,No,No,Yes,No,No,No,No,,,
2138344,Low,Moderate,More in some cells than others,"Diffuse	Cytoplasmic",None,Low,No,No,Yes,Yes,No,Yes,No,,,
2138803,High,High,"Evenly distributed	Single transcripts","Cell edges	Diffuse	Cytoplasmic",High,High,Yes,Yes,Yes,Yes,Yes,Yes,No,,,
2138716,Moderate,None,,,Low,Moderate,Yes,No,Yes,No,Yes,No,No,,,
2138047,Moderate,High,Single transcripts,"Cell edges	Cytoplasmic",Low,Low,No,No,Yes,No,Yes,No,No,,,
2138059,High,High,"Single transcripts	More in some cells than others","Punctate	Cell edges	Large aggregations	Cytoplasmic",High,High,Yes,Yes,Yes,Yes,Yes,Yes,No,,,
2137766,Moderate,High,"Cell type specific	More in some cells than others",Cytoplasmic,Moderate,Moderate,Yes,No,Yes,No,Yes,Yes,No,,,
2138779,Moderate,Low,More in some cells than others,Diffuse,Low,Moderate,Yes,No,Yes,No,No,No,No,,,
2138679,Low,Moderate,"Single transcripts	Nuclear","Cell edges	Diffuse	Cytoplasmic",Low,None,No,No,Yes,Yes,No,No,No,,,
2138632,Low,Moderate,Single transcripts,"Diffuse	Cytoplasmic",Low,Low,Yes,No,Yes,Yes,Yes,Yes,No,,,
2138497,High,High,,"Nuclear	Diffuse	Large aggregations",Low,Moderate,Yes,No,Yes,Yes,No,Yes,No,Soma compartment taken as the lateral cell bodies at VNC,,
2138171,High,High,"Single transcripts	Nuclear","Cell edges	Diffuse	Cytoplasmic",Moderate,High,Yes,Yes,Yes,Yes,Yes,Yes,No,,,
2138012,High,High,"Single transcripts	Nuclear	More in some cells than others","Cell edges	Diffuse",Moderate,Moderate,No,Yes,Yes,Yes,Yes,Yes,No,Quality of the technique is good but might be confused for the diagnose/interpretation,,
2138618,Low,Low,Evenly distributed,"Cell edges	Diffuse",None,Low,No,No,Yes,Yes,N/A,Yes,No,,,
2138134,High,Moderate,"Evenly distributed	Single transcripts","Nuclear	Cell edges	Diffuse	Cytoplasmic",Moderate,Moderate,Yes,No,Yes,Yes,Yes,Yes,No,,,
2138665,Moderate,High,More in some cells than others,"Punctate	Cell edges	Diffuse",Low,Moderate,Yes,No,No,No,No,No,No,,,
2138391,None,None,,,None,None,No,No,No,No,No,No,No,since there is no YFP expression maybe the figure quality is not poor,,
2138801,Moderate,Low,Single transcripts,"Cell edges	Diffuse	Cytoplasmic",Moderate,High,No,No,Yes,Yes,Yes,Yes,No,,,
2138741,Low,Moderate,Single transcripts,Nuclear,Low,Low,No,No,Yes,Yes,Yes,Yes,No,,,
2138595,Moderate,High,Single transcripts,Diffuse,Moderate,High,Yes,No,Yes,No,Yes,Yes,No,,,
2138684,Low,None,Cell type specific,,Low,None,No,No,Yes,No,Yes,No,No,,,
2138421,Low,Moderate,"Single transcripts	More in some cells than others","Punctate	Diffuse	Cytoplasmic",Moderate,Low,No,No,Yes,Yes,No,Yes,No,,,
2138258,Moderate,High,Single transcripts,"Cell edges	Diffuse	Large aggregations	Cytoplasmic",Low,Moderate,No,No,Yes,Yes,Yes,Yes,No,,,
2138474,High,High,"Single transcripts	Nuclear","Nuclear	Diffuse",Moderate,High,No,Yes,Yes,Yes,Yes,No,No,,,
2138325,High,High,Single transcripts,"Nuclear	Large aggregations",Low,Moderate,Yes,Yes,Yes,Yes,Yes,No,No,,,
2138517,High,Moderate,"Evenly distributed	Single transcripts	Nuclear","Cell edges	Diffuse",High,Low,Yes,Yes,Yes,Yes,Yes,Yes,No,the syp positive cell in the VNC neuropil image is intriguing,,
2138246,Moderate,High,Single transcripts,"Cell edges	Diffuse	Large aggregations	Cytoplasmic",Moderate,Low,Yes,No,N/A,Yes,No,Yes,No,,,
2138254,Low,Low,Single transcripts,"Cell edges	Diffuse	Cytoplasmic",Low,Low,No,No,Yes,Yes,No,Yes,No,,,
2137920,Low,Low,More in some cells than others,Diffuse,None,Moderate,No,No,Yes,Yes,No,Yes,No,,,
2138734,Moderate,Low,"Single transcripts	More in some cells than others","Diffuse	Cytoplasmic",Low,High,No,No,Yes,Yes,Yes,Yes,No,,,
2138483,Moderate,Moderate,Single transcripts,"Diffuse	Large aggregations	Cytoplasmic",Low,Moderate,No,Yes,Yes,Yes,Yes,Yes,No,,,
2138014,High,Moderate,"Single transcripts	Nuclear	More in some cells than others","Punctate	Diffuse",High,High,Yes,Yes,Yes,Yes,Yes,No,No,,,
2138638,Moderate,Low,Single transcripts,"Cell edges	Diffuse",Moderate,Moderate,No,No,Yes,No,Yes,No,No,,,
2138177,Moderate,Moderate,Single transcripts,Diffuse,Moderate,Moderate,Yes,No,Yes,Yes,Yes,Yes,No,,,
2138591,High,Low,"Evenly distributed	Single transcripts","Cell edges	Diffuse	Cytoplasmic",Moderate,High,Yes,No,Yes,Yes,Yes,Yes,No,"Lots of transcripts, but the protein level is low",,
2138673,Low,High,Evenly distributed,"Cell edges	Diffuse	Cytoplasmic",None,Low,No,No,Yes,Yes,N/A,Yes,No,,,
2138141,None,High,,"Cell edges	Diffuse	Cytoplasmic	Cell type specific",None,None,No,Yes,No,Yes,No,Yes,No,no RNA when the protein is so highly and specifically expressed?,,
2138030,High,High,"Single transcripts	Nuclear	More in some cells than others","Cell edges	Diffuse",High,High,Yes,Yes,Yes,Yes,Yes,Yes,No,,,
2138661,Low,Low,,Diffuse,Low,Low,No,No,Yes,Yes,Yes,Yes,No,Maybe DAPI signal  can be reduced in the cell bodies image,,
2138130,High,High,"Single transcripts	Nuclear	More in some cells than others","Diffuse	Large aggregations	Cytoplasmic",Moderate,Low,Yes,Yes,Yes,Yes,Yes,No,No,Good quality,,
2137760,Low,Low,Cell type specific,Cell type specific,None,Low,No,No,Yes,No,No,Yes,No,,,
