figure_id,What is the level of RNA expression?,What is the level of protein expression?,"If there is RNA expression, what patterns does the RNA make?","If there is protein expression, what patterns does the protein make?",Nascent transcript level,Cytosolic RNA level,Is there obvious RNA/protein discordance (whole image)?,Flag this gene as a potential one to use for a figure in the paper?,Is RNA present in soma?,Is protein present in soma?,Is RNA present in midline glia?,Is protein present in midline glia?,Is RNA present in neuropil?,Is protein present in neuropil?,Is figure quality too poor?,General comments,,somaRNAnoProtein,somaproteinnoRNA,neuropil_RNAnoProtein,neuropil_ProteinnoRNA,figure_id
2137787,High,High,Evenly distributed,"Punctate	Diffuse",Moderate,High,Yes,No,Yes,Yes,No,No,No,Yes,No,,,0,1,0,1,2138344
2138407,None,None,,,None,None,No,No,No,No,No,No,No,No,No,Doesn't seem to be expressed,,0,1,0,1,2138679
2138344,None,Low,,Diffuse,None,None,Yes,No,No,Yes,No,Yes,No,Yes,No,,,0,1,0,1,2138844
2138803,High,High,Evenly distributed,"Diffuse	Large aggregations",Moderate,High,Yes,No,Yes,Yes,No,No,No,Yes,No,,,0,1,0,1,2138673
2138903,None,None,,,None,None,No,No,No,No,No,No,No,No,No,Doesn't seem to be expressed,,0,1,0,1,2138141
2138716,None,None,,,None,None,No,No,No,No,No,No,No,No,No,Doesn't seem to be expressed. Too far out in zoom though,,0,1,0,1,2137760
2138047,Moderate,Moderate,Evenly distributed,"Cell edges	Cytoplasmic",Low,Moderate,No,No,Yes,Yes,Yes,Yes,No,No,No,,,0,1,0,1,2138902
2138059,High,High,Evenly distributed,"Punctate	Large aggregations",Moderate,High,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,,,0,1,0,1,2138432
2137766,Low,Low,Single transcripts,Diffuse,Low,Low,No,No,Yes,Yes,No,No,No,No,No,,,0,1,0,1,2139013
2138779,None,None,,,None,None,No,No,No,No,No,No,No,No,No,"Doesn't seem to be expressed
",,1,0,0,1,2138595
2138679,None,Moderate,,"Punctate	Diffuse",None,None,Yes,No,No,Yes,No,Yes,No,Yes,Yes,There are arrows on the neuropil image,,1,0,0,1,2138684
2138632,High,High,Evenly distributed,"Punctate	Diffuse",Moderate,High,Yes,No,Yes,Yes,No,No,No,Yes,No,,,1,0,0,1,2138517
2138844,None,Moderate,,Punctate,None,None,Yes,No,No,Yes,No,Yes,No,Yes,No,No syp or Venus FISH signal. Did the FISH fail? Check NBs in CB to see,,1,0,0,1,2138444
2138497,None,None,,,None,None,No,No,No,No,No,No,No,No,Yes,Controls need updating. Too zoomed out? Don't think I can score this.  Might need to check pixel size,,1,0,0,1,2137806
2138171,High,Moderate,More in some cells than others,"Punctate	Diffuse",High,High,No,No,Yes,Yes,N/A,No,Yes,Yes,No,,,1,0,0,1,2137848
2138012,High,High,Evenly distributed,Large aggregations,Moderate,High,No,No,Yes,Yes,N/A,No,Yes,Yes,Yes,"Protein channel is saturated
",,1,0,0,1,2138504
2138618,None,None,,,None,None,No,No,No,No,No,No,No,No,Yes,Very hard to see the RNA. Is that signal real?,,1,0,0,1,2137777
2138870,High,Low,Evenly distributed,Large aggregations,High,Moderate,Yes,No,Yes,Yes,No,No,No,Yes,No,,,1,0,0,1,2137997
2138134,None,Moderate,Evenly distributed,Large aggregations,Moderate,High,No,No,Yes,Yes,Yes,No,Yes,Yes,No,,,0,0,0,1,2137787
2138665,Moderate,High,Evenly distributed,"Punctate	Diffuse	Large aggregations",Low,Moderate,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,DAPI is saturated in Cell bodies image,,0,0,0,1,2138803
2138391,None,None,,,None,None,No,No,No,No,No,No,No,No,No,"Doesn't seem to be expressed
",,0,0,0,1,2138632
2138801,High,None,Evenly distributed,,Low,High,Yes,No,Yes,No,Yes,No,Yes,No,No,Need to make the RNA easier to see,,0,0,0,1,2138870
2138901,None,None,,,None,None,No,No,No,No,No,No,No,No,No,Doesn't seem to be expressed,,0,0,0,1,2138665
2138741,Low,Moderate,Single transcripts,Cytoplasmic,Low,Low,No,No,Yes,Yes,No,Yes,No,No,No,RNA is very faint. Real signal? If so it needs better contrasting,,0,0,0,1,2139885
2138854,None,Low,,Punctate,None,None,Yes,No,No,Yes,No,Yes,No,No,No,Too zoomed out?,,0,0,0,1,2138937
2139885,Moderate,Moderate,Evenly distributed,"Diffuse	Cytoplasmic",Low,Moderate,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,,,0,0,0,1,2138925
2138937,Low,Moderate,Single transcripts,Diffuse,Low,Low,Yes,No,Yes,Yes,No,No,No,Yes,No,"Could do with being zoomed in a bit, RNA is hard to see",,0,0,0,1,2138258
2138595,Low,Low,More in some cells than others,Diffuse,None,Low,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Controls need updating. Contrasting could be better,,0,0,0,1,2138246
2139897,High,Moderate,More in some cells than others,"Cell edges	Large aggregations",High,High,No,No,Yes,Yes,N/A,No,Yes,Yes,No,Extremely highly expressed. RNA channel is saturated in neuropil,,0,0,0,1,2138030
2138925,Low,Moderate,Single transcripts,"Punctate	Large aggregations",Low,Low,Yes,No,Yes,Yes,No,Yes,No,Yes,No,,,0,0,0,1,2138792
2138684,Low,Low,Single transcripts,Diffuse,None,Low,Yes,No,Yes,No,N/A,No,No,Yes,No,"Protein level is so low it may be autofluorescence, but it's higher than the control. Also only 1 RNA transcript",,0,0,0,1,2138305
2138421,Low,Low,More in some cells than others,Punctate,Low,Low,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Controls need updating,,0,0,0,1,2138340
2138258,Moderate,Moderate,More in some cells than others,Cytoplasmic,Moderate,Moderate,No,No,Yes,Yes,Yes,Yes,No,Yes,No,,,0,0,0,1,2138364
2138474,High,High,Evenly distributed,"Diffuse	Cytoplasmic",High,High,No,No,Yes,Yes,N/A,No,Yes,No,No,,,0,0,0,1,2138647
2138325,High,High,Evenly distributed,Cytoplasmic,Moderate,High,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Huge artefacts in the RNA channel? RNA contrasting could be better in Cell Bodies image,,0,0,0,1,2137941
2138517,High,High,Evenly distributed,Diffuse,High,High,Yes,No,Yes,No,N/A,No,No,Yes,Yes,Controls need updating,,0,0,0,1,2138600
2138246,Low,High,Single transcripts,Large aggregations,Low,Low,Yes,No,Yes,Yes,Yes,No,No,Yes,No,,,0,0,0,1,2137903
2138254,Low,Low,Evenly distributed,Diffuse,Low,Low,No,No,Yes,Yes,Yes,No,No,No,No,,,0,0,0,1,2138158
2137920,None,None,,,None,None,No,No,No,No,No,No,No,No,Yes,It's a bit of a mess,,0,0,0,1,2137779
2138734,Moderate,None,More in some cells than others,,Low,Moderate,Yes,No,Yes,No,No,No,No,No,No,,,0,0,0,1,2137872
2138483,Moderate,Moderate,More in some cells than others,"Diffuse	Large aggregations	Cytoplasmic",Low,Moderate,No,No,Yes,Yes,N/A,No,Yes,Yes,No,,,0,0,0,1,2138416
2138014,Moderate,Low,Evenly distributed,"Punctate	Diffuse",Low,Moderate,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,,,0,0,0,1,2138947
2139881,Low,None,More in some cells than others,,Low,Low,Yes,No,Yes,No,Yes,No,No,No,No,,,0,0,0,1,2138607
2138638,High,Low,Evenly distributed,"Punctate	Large aggregations",Moderate,High,No,No,Yes,Yes,N/A,No,No,No,No,,,0,0,0,1,2138382
2138933,Low,Low,Single transcripts,"Cell edges	Diffuse",None,Low,No,No,Yes,Yes,No,Yes,No,No,No,"RNA is hard to see, might need recontrasting",,0,0,0,1,2137901
