,figure_id,What is the level of RNA expression?,What is the level of protein expression?,What patterns does the RNA make?,What patterns does the protein make?,Nascent transcript level,Cytosolic RNA level,Is there obvious RNA/protein discordance (whole image)?,Flag this gene as a potential one to use for a figure in the paper?,Is RNA present in nerve?,Is protein present in nerve?,Is RNA present in glia?,Is protein present in glia?,Is RNA distribution cell-type specific?,Is protein distribution cell-type specific?,Is figure quality too poor?,General comments
0,2140146,Low,Moderate,Single transcripts,Punctate	Diffuse,Low,Low,No,No,No,Yes,Yes,Yes,glia,No,No,"protein pattern: punctate in the glia, diffuse in the nerve"
1,2140158,Moderate,Moderate,Evenly distributed,Punctate	Diffuse,Moderate,Low,No,No,Yes,Yes,Yes,Yes,No,No,No,
2,2140292,None,None,,,None,None,No,No,No,No,No,No,No,No,Yes,
3,2140154,Moderate,Moderate,Evenly distributed	Single transcripts,Punctate	Diffuse,Low,Moderate,No,No,Yes,Yes,Yes,Yes,No,No,No,
4,2140137,Moderate,Moderate,Single transcripts,Cell type specific,Moderate,High,Yes,No,Yes,No,Yes,Yes,nerve,glia,No,
5,2140280,Moderate,High,Single transcripts	Nuclear	Other,Cell edges	Large aggregations,Moderate,Low,Yes,No,Yes,Yes,Yes,No,glia,nerve,No,
6,2140162,Low,Low,Single transcripts,Punctate	Diffuse,None,Low,No,No,Yes,Yes,,No,No,nerve,No,
7,2140170,High,High,Single transcripts,Punctate	Large aggregations,Moderate,Moderate,Yes,Yes,Yes,Yes,Yes,Yes,glia,nerve,No,Protein mainly in the nerve and RNA mainly in glia *even though not exclusive 
8,2140273,High,High,Evenly distributed	Single transcripts	Nuclear	Other,Punctate	Nuclear	Large aggregations,High,High,Yes,Yes,Yes,No,Yes,Yes,No,glia,No,
9,2140210,Moderate,High,Evenly distributed	Single transcripts	Nuclear	Other,Large aggregations,Moderate,High,Yes,Yes,Yes,Yes,Yes,Yes,glia,nerve,No,"protein: pattern of the nerve fibers.
Discordance: RNA concentrated in the glia and protein in the nerve (even though not only in those compartments, just more concentrated there)."
